Make,Label
Acura,20001
Am General,20002
Aston Martin,20003
Austin Healey,20004
BMW,20005
Buick,20006
Checker,20007
Chrysler,20008
Daewoo,20009
Datsun,20010
Delorean,20011
Dodge,20012
Edsel,20013
Ferrari,20014
Ford,20015
General Motors,20016
Honda,20017
Hummer,20018
INFINITI,20019
Isuzu,20020
Jeep,20021
Kaiser,20022
LaSalle,20023
Land Rover,20024
Lincoln,20025
MG,20026
Maybach,20027
Mercedes Benz,20028
Merkur,20029
Mitsubishi,20030
Nash,20031
Oldsmobile,20032
Packard,20033
Peugeot,20034
Pontiac,20035
Qvale,20036
Rolls Royce,20037
Saab,20038
Saturn,20039
Sterling,20040
Subaru,20041
Suzuki,20042
Triumph,20043
Volvo,20044
Yugo,20045
AC,20046
Alfa Romeo,20047
American Motors,20048
Audi,20049
Avanti Motors,20050
Bentley,20051
Cadillac,20052
Chevrolet,20053
Citroen,20054
Daihatsu,20055
DeTomaso,20056
Desoto,20057
Eagle,20058
Essex,20059
FIAT,20060
GMC,20061
Geo,20062
Hudson,20063
Hyundai,20064
International,20065
Jaguar,20066
Jensen,20067
Kia,20068
Lamborghini,20069
Lexus,20070
Lotus,20071
Maserati,20072
Mazda,20073
Mercury,20074
MINI,20075
Morgan,20076
Nissan,20077
Opel,20078
Panoz,20079
Plymouth,20080
Porsche,20081
Renault,20082
Rover,20083
Saleen,20084
Scion,20085
Studebaker,20086
Sunbeam,20087
Toyota,20088
Volkswagen,20089
Willys,20090
